City_ID,City,Country,Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
321,Calama,CL,clear sky,-22.4667,-68.9333,39.69,35,0,20.71
322,Niamey,NE,clear sky,13.5137,2.1098,91.69,31,0,11.5
323,Fort Myers Beach,US,broken clouds,26.452,-81.9481,80.02,88,75,9.22
324,Andenes,NO,fog,69.3143,16.1194,49.98,81,75,9.22
325,Marsa Matruh,EG,clear sky,31.3525,27.2453,73.53,56,0,23.87
326,Oudtshoorn,ZA,clear sky,-33.5907,22.2014,62.96,38,4,1.61
327,Imbituba,BR,clear sky,-28.24,-48.6703,52.86,99,3,3.71
328,Mangai,CD,light rain,-4.05,19.5333,91.04,46,59,0.87
329,Limon,CR,overcast clouds,10.0,-83.0333,77.16,88,100,5.14
330,Tibati,CM,broken clouds,6.4667,12.6333,85.73,49,60,3.44
331,Tabuk,PH,overcast clouds,17.4189,121.4443,79.34,86,100,2.39
332,Sindor,RU,light snow,62.8629,51.8905,35.08,95,100,12.21
333,Itaituba,BR,scattered clouds,-4.2761,-55.9836,69.24,98,27,0.76
334,Rincon,US,broken clouds,32.296,-81.2354,76.86,89,75,4.61
335,Gorlice,PL,broken clouds,49.6556,21.1604,63.28,60,61,15.57
336,Malangali,TZ,overcast clouds,-8.5667,34.85,80.69,38,91,4.63
337,Rosita,NI,overcast clouds,13.9268,-84.4032,72.93,98,100,2.62
338,Iberia,US,broken clouds,29.9502,-91.7507,73.36,94,75,9.22
339,Baijiantan,CN,overcast clouds,45.6333,85.1833,95.65,7,93,8.88
340,Jijiga,ET,scattered clouds,9.35,42.8,89.24,13,48,15.75
341,Awbari,LY,clear sky,26.5921,12.7805,86.2,12,0,11.48
342,Tignere,CM,overcast clouds,7.3667,12.65,83.71,50,94,2.06
343,Atar,MR,clear sky,20.5169,-13.0499,94.73,17,0,13.33
